k,Name,Regulator,Function,Category,category_num
38,ArcA-1,ArcA,Anaerobic response,Energy Metabolism,2
39,nitrate-related,,Nitric oxide response,Biological Enrichment,8
40,Fnr,Fnr,Anaerobic response,Energy Metabolism,2
41,CdaR,CdaR,Glucarate catabolism,Carbon Source Utilization,0
42,Pyruvate,BtsR or YpdB or PdhR,Pyruvate transport and metabolism,Carbon Source Utilization,0
43,SrlR+GutM,SrlR and GutM,Sorbitol catabolism,Carbon Source Utilization,0
44,NagC/TyrR,NagC or TyrR,N-acetylglucosamine catabolism and tyrosine biosynthesis,Carbon Source Utilization,0
45,CpxR,CpxR,Various stress responses,Stress Response,6
46,thrA-KO,,Accounts for thrA knock-out,Genomic Alterations,9
47,Lrp,Lrp,Amino acid and peptide transport,Amino Acid and Nucleotide Biosynthesis,1
48,deletion-1,,Large deletion of 39 genes during evolution,Genomic Alterations,9
49,Leu/Ile,IlvY or leu-tRNA attenuation or ile-tRNA attenuation,Branched-chain amino acid biosynthesis,Amino Acid and Nucleotide Biosynthesis,1
50,deletion-2,,Large deletion of 171 genes during evolution,Genomic Alterations,9
51,Fur-1,Fur,Iron homeostasis,Metal Homeostasis,3
52,uncharacterized-5,,Unknown Function,Uncharacterized,10
53,Thiamine,Thiamine,Thiamine biosynthesis,Miscellaneous Metabolism,4
54,CysB,CysB,Inorganic sulfate assimilation,Amino Acid and Nucleotide Biosynthesis,1
55,FliA,FliA,Chemotaxis,Structural Components,5
56,PuuR,PuuR,Putrescine catabolism,Miscellaneous Metabolism,4
57,NikR,NikR,Nickel homeostasis,Metal Homeostasis,3
58,NtrC+RpoN,NtrC and RpoN,Nitrogen starvation response,Stress Response,6
59,RcsAB,RcsAB,Colanic acid capsule formation,Structural Components,5
60,His-tRNA,His-tRNA attenuation,Histidine biosynthesis,Amino Acid and Nucleotide Biosynthesis,1
61,Fur-2,Fur,Iron homeostasis,Metal Homeostasis,3
62,Copper,CusR or HprR or CueR,Copper homeostasis,Metal Homeostasis,3
63,AllR/AraC/FucR,AllR or AraC or FucR,"Allantoin, glyoxylate, L-arabinose, and L-fucose catabolism",Carbon Source Utilization,0
64,Cra,Cra,Central carbon metabolism,Carbon Source Utilization,0
65,ArcA-2,ArcA,Electron Transport Chain,Energy Metabolism,2
66,EvgA,EvgA,Acid and osmotic stress response,Stress Response,6
67,uncharacterized-2,,Unknown Function,Uncharacterized,10
68,Zinc,ZntR or Zur,Zinc homeostasis,Metal Homeostasis,3
69,SoxS,SoxS,Oxidative stress response,Stress Response,6
70,Nac,Nac,Nitrogen starvation response,Stress Response,6
71,Tryptophan,TrpR or trp-tRNA attenuation or Tryptophan attenuation,Tryptophan Biosynthesis,Amino Acid and Nucleotide Biosynthesis,1
72,curli,,Curli assembly,Biological Enrichment,8
73,gadWX-KO,,Accounts for gadW and gadX knock-outs,Genomic Alterations,9
74,flu-yeeRS,,Genes in CP4-44 prophage,Biological Enrichment,8
75,uncharacterized-1,,Unknown Function,Uncharacterized,10
76,FadR/IclR,FadR or IclR,Fatty acid degradation,Miscellaneous Metabolism,4
77,lipopolysaccharide,,Lipopolysaccharide biosynthesis,Biological Enrichment,8
78,FlhDC,FlhDC,Flagella assembly,Structural Components,5
79,crp-KO,,Accounts for crp knock-out,Genomic Alterations,9
80,GntR/TyrR,GntR or TyrR,Gluconate catabolism and tyrosine biosynthesis,Carbon Source Utilization,0
81,purR-KO,,Accounts for purR knock-out,Genomic Alterations,9
82,RpoS,RpoS,General stress response,Stress Response,6
83,membrane,,Enriched in membrane-bound proteins,Biological Enrichment,8
84,duplication-1,,Large duplication of 129 genes during evolution,Genomic Alterations,9
85,uncharacterized-3,,Unknown Function,Uncharacterized,10
86,ExuR/FucR,ExuR or FucR,D-galacturonate and L-fucose catabolism,Carbon Source Utilization,0
87,FecI,FecI,Ferric citrate transport,Metal Homeostasis,3
88,iron-related,,Related to iron metabolism,Biological Enrichment,8
89,RbsR,RbsR,D-ribose catabolism,Carbon Source Utilization,0
90,sgrT,,Contains single dominating gene: sgrT,Biological Enrichment,8
91,insertion,,IS2 insertion element after laboratory evolution,Genomic Alterations,9
