locus,gene_weight,gene_name,gene_product,cog,regulator,rpoS,link
STM4339,0.0891543531,blc,outer membrane lipoprotein,Cell wall/membrane/envelope biogenesis,rpoS,True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM4339
STM2164,0.0888531936,yehY,putative ABC-type proline/glycine betaine transport system%2C permease component,Inorganic ion transport and metabolism,"rpoH,rpoS",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM2164
STM0465,0.08880640570000001,ybaY,glycoprotein/polysaccharide metabolism,Function unknown,,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM0465
STM1851,0.088457269,STM1851,putative cytoplasmic protein,Function unknown,,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1851
STM1513,0.0863998717,STM1513,putative cytoplasmic protein,Function unknown,,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1513
STM0812,0.08620947100000001,ybhO,cardiolipin (CL) synthase,Lipid transport and metabolism,lrp,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM0812
STM1797,0.0861168271,ymgE,putative transglycosylase-associated protein,Function unknown,,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1797
STM1804,0.08190127180000001,ycgB,putative cytoplasmic protein,Function unknown,,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1804
STM0361,0.0816380127,STM0361,cytochrome BD2 subunit II,Energy production and conversion,,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM0361
STM1932,0.0793016575,ftnB,ferritin-like protein,Inorganic ion transport and metabolism,"cpxR,fur,nac,rpoD,rpoE,trpR",False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1932
STM1728,0.0791212287,yciG,putative cytoplasmic protein,No COG annotation,,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1728
STM2474,0.0784012872,tktB,transketolase 2 isozyme,Carbohydrate transport and metabolism,"phoB,rpoS",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM2474
STM0813,0.0778494508,ybhP,putative cytoplasmic protein,"Replication, recombination and repair",lrp,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM0813
STM0935,0.0772883328,poxB,pyruvate dehydrogenase/oxidase FAD and thiamine PPi cofactors%2C cytoplasmic in absence of cofactors,Amino acid transport and metabolism,"cra,fnr,marA,narL,narP,nsrR,oxyR,rpoD,rpoS,soxS",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM0935
STM0169,0.0739622118,gcd,glucose dehydrogenase,Carbohydrate transport and metabolism,"crp,ihf,rpoD",False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM0169
STM3363,0.0727372132,yhcO,putative cytoplasmic protein,Transcription,,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM3363
STM1118,0.0723567604,yccJ,putative cytoplasmic protein,Function unknown,"csgD,nac,rpoS",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1118
STM1261,0.0722653375,STM1261,putative cytoplasmic protein,No COG annotation,,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1261
STM0583,0.0721121181,ybdK,putative cytoplasmic protein,Nucleotide transport and metabolism,nac,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM0583
STM1260,0.0711793782,STM1260,putative inner membrane protein,Cell wall/membrane/envelope biogenesis,,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1260
STM1119,0.0711583196,wraB,trp-repressor binding protein,Coenzyme transport and metabolism,"csgD,nac,rpoS,ydcI",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1119
STM2163,0.0702448787,yehX,putative ABC-type proline/glycine betaine transport system%2C ATPase component,Amino acid transport and metabolism,"rpoH,rpoS",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM2163
STM1265,0.06966796930000001,STM1265,putative response regulators,Transcription,,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1265
STM1986,0.06830747250000001,yedP,putative hydrolase of the HAD superfamily,Function unknown,crp,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1986
STM1311,0.0664462369,osmE,transcriptional activator of ntrL gene,Cell wall/membrane/envelope biogenesis,"fis,ihf,rpoD,rpoS,yeiE",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1311
STM1588,0.0659924635,yncC,putative gntR family regulatory protein,Transcription,,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1588
STM1558,0.0649440714,STM1558,putative glycosyl hydrolase,Carbohydrate transport and metabolism,,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1558
STM4240,0.0644222552,yjbJ,putative cytoplasmic protein,Function unknown,"fur,lrp",False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM4240
STM3681,0.0643212905,STM3681,putative transcriptional regulator,Carbohydrate transport and metabolism,,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM3681
STM1515,0.06351609300000001,ydeI,putative periplasmic protein,Function unknown,"rcdA,rpoD",False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1515
STM1984,0.0630064807,yodD,putative cytoplasmic protein,Function unknown,,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1984
STM3443,0.0610907449,bfr,bacterioferrin,Inorganic ion transport and metabolism,nac,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM3443
STM2162,0.0597632021,yehW,putative ABC-type proline/glycine betaine transport system%2C permease component,Inorganic ion transport and metabolism,"rpoH,rpoS",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM2162
STM2171,0.059707104000000004,yohF,putative oxidoreductase,Lipid transport and metabolism,,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM2171
STM2349,0.0590691562,yfcG,putative glutathione S-transferase,"Post-translational modification, protein turnover,and chaperones",,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM2349
STM3470,0.058979255,fic,putative cell filamentation protein,"Cell cycle control, cell division, chromosome partitioning","crp,rpoS",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM3470
STM0384,0.057252370500000004,psiF,induced by phosphate starvation,Function unknown,"phoB,rpoD",False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM0384
STM3218,0.0566307791,oat,putative acetylornithine aminotransferase,Coenzyme transport and metabolism,"fis,ihf,lrp,ntrC,rpoN,rpoS",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM3218
STM3610,0.0547095102,yhjG,putative inner membrane protein,Cell wall/membrane/envelope biogenesis,rpoS,True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM3610
STM0811,0.0545772205,ybhN,putative negative regulator,Function unknown,lrp,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM0811
STM1796,0.0528958277,treA,trehalase%2C periplasmic,Carbohydrate transport and metabolism,rpoS,True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1796
STM2655,0.052859647,STM2655,putative cytoplasmic protein,Function unknown,,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM2655
STM1881,0.0520291988,yebF,putative periplasmic protein,Function unknown,,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1881
STM1729,0.0519250029,yciF,putative cytoplasmic protein,Function unknown,"h-NS,mcbR,rpoS",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1729
STM3471,0.050865897300000004,yhfG,putative cytoplasmic protein,Function unknown,"crp,rpoS",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM3471
STM1565,0.0506577836,rpsV,30S ribosomal subunit protein S22,"Translation, ribosomal structure and biogenesis","fis,ihf,ompR,rcsB,rpoS",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1565
STM3538,0.0500803551,glgB,1%2C4-alpha-glucan branching enzyme,Carbohydrate transport and metabolism,"phoP,rpoD",False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM3538
STM4290,0.0495061964,proP,MFS family low-affinity proline transporter,Amino acid transport and metabolism,"crp,fis,rpoD,rpoS",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM4290
STM0709,0.0476771722,phrB,deoxyribodipyrimidine photolyase (photoreactivation),Coenzyme transport and metabolism,"lexA,nac,rpoS",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM0709
STM1589,0.0471781916,yncB,putative NADP-dependent oxidoreductase,Function unknown,nac,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1589
STM3091,0.0470449002,galP,MFS family galactose:proton symporter,"Intracellular trafficking, secretion, and vesicular transport","crp,galR,galS,nagC,rpoD",False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM3091
STM3688,0.0469221074,STM3688,putative cytoplasmic protein,Function unknown,,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM3688
STM2393,0.046077618800000004,yfdC,putative transport,Inorganic ion transport and metabolism,,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM2393
STM0831,0.0459603727,dps,stress response DNA-binding protein%3B starvation induced resistance to H2O2,Inorganic ion transport and metabolism,"argR,fis,h-NS,ihf,mntR,oxyR,rpoD,rpoS",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM0831
STM1440,0.0454540842,sodC,copper/zinc superoxide dismutase,Inorganic ion transport and metabolism,"rpoS,yeiE",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1440
STM1987,0.0444858397,STM1987,putative inner membrane protein,Signal transduction mechanisms,,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1987
STM2790,0.0442742702,ygaF,putative sarcosine oxidase-like protein,Function unknown,"arcA,crp,csiR,h-NS,lrp,nac,rpoS",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM2790
STM3233,0.0439734686,yqjG,putative glutathione S-transferase,"Post-translational modification, protein turnover,and chaperones",,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM3233
STM3641,0.043640698900000004,yhjY,putative lipase,Cell motility,,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM3641
STM0615,0.0435905768,ybdR,putative dehydrogenase,Amino acid transport and metabolism,nac,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM0615
STM3551,0.0433607782,ggt,gamma-glutamyltranspeptidase,Cell wall/membrane/envelope biogenesis,,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM3551
STM1624,0.0415584034,STM1624,putative cytoplasmic protein,Function unknown,nac,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1624
STM2140,0.0407046463,yegS,putative diacylglycerol kinase catalytic domain containing protein,Nucleotide transport and metabolism,,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM2140
STM4288,0.0401073485,phnB,putative cytoplasmic protein,Function unknown,,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM4288
STM3557,0.0399404405,ugpB,sn-glycerol 3-phosphate transport protein,Carbohydrate transport and metabolism,"arcA,crp,phoB,rpoD",False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM3557
STM2409,0.039210488200000004,nupC,NUP family nucleoside transport protein,"Intracellular trafficking, secretion, and vesicular transport","arcA,crp,cytR,nac,rpoD",False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM2409
