locus,gene_weight,gene_name,gene_product,cog,regulator,MvfR,LasR,link
PA1245,0.0854243797,PA1245,hypothetical protein,No COG annotation,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1245&e1=1&assembly=complete
PA0572,0.08493007300000001,PA0572,hypothetical protein,Carbohydrate transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0572&e1=1&assembly=complete
PA3479,0.0751519315,rhlA,rhamnosyltransferase subunit A,Lipid transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3479&e1=1&assembly=complete
PA0852,0.0715584814,cbpD,chitin-binding protein CbpD,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0852&e1=1&assembly=complete
PA3535,0.0711215613,PA3535,serine protease,"Post-translational modification, protein turnover,and chaperones",,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3535&e1=1&assembly=complete
PA1869,0.0705032439,PA1869,acyl carrier protein,Lipid transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1869&e1=1&assembly=complete
PA2195,0.06579882470000001,hcnC,hydrogen cyanide synthase subunit HcnC,Amino acid transport and metabolism,"Anr,LasR,RhlR",False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2195&e1=1&assembly=complete
PA3326,0.0645128063,PA3326,ATP-dependent Clp protease proteolytic subunit,"Post-translational modification, protein turnover,and chaperones",,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3326&e1=1&assembly=complete
PA3333,0.06297063900000001,fabH2,3-oxoacyl-ACP synthase III,Lipid transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3333&e1=1&assembly=complete
PA4175,0.0625565105,piv,endopeptidase IV,Amino acid transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4175&e1=1&assembly=complete
PA2194,0.059906545000000005,hcnB,hydrogen cyanide synthase subunit HcnB,Energy production and conversion,"Anr,LasR,RhlR",False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2194&e1=1&assembly=complete
PA1656,0.0591440897,PA1656,hypothetical protein,Function unknown,Sfa2,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1656&e1=1&assembly=complete
PA3330,0.0574232161,PA3330,short-chain dehydrogenase,Lipid transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3330&e1=1&assembly=complete
PA4917,0.055225794800000005,PA4917,hypothetical protein,Coenzyme transport and metabolism,NrtR,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4917&e1=1&assembly=complete
PA2939,0.0545961658,PA2939,aminopeptidase,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2939&e1=1&assembly=complete
PA2300,0.054135443400000004,chiC,chitinase,Carbohydrate transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2300&e1=1&assembly=complete
PA3478,0.0534019524,rhlB,rhamnosyltransferase subunit B,Energy production and conversion,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3478&e1=1&assembly=complete
PA4677,0.053126159000000006,PA4677,hypothetical protein,Amino acid transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4677&e1=1&assembly=complete
PA1900,0.0512157514,phzB2,phenazine biosynthesis protein PhzB,Function unknown,QscR,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1900&e1=1&assembly=complete
PA1657,0.050606547700000004,PA1657,hypothetical protein,Function unknown,Sfa2,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1657&e1=1&assembly=complete
