,name,TF,high_conf,precision,recall,reg_type,Function,Category,category2,category3,new_idx,Regulator,threshold,n_genes
66,SigG – Sporulation 4,SigG,0,0.620915032679739,0.524861878453039,closest match,"Calcium and nutrient delivery to the spore, endospore cortex maturation, lipoproteins, forespore-specific metabolic proteins, many unknown sporulation proteins, stress resistance, proteins required for germination",Sporulation,Sporulation,3,51,SigG,0.0423301325,153.0
13,SigK-1 – Sporulation 5,SigK,0,0.618705035971223,0.480446927374302,closest match,"Production of spore coat and crust proteins, L-sulfolactate production, spore coat cross-linking, stress resistance, many unknown proteins",Sporulation,Sporulation,5,52,SigK,0.0346501865,139.0
25,SigK-2 – Sporulation 6,SigK,0,0.556701030927835,0.301675977653631,closest match,"Production of outermost spore coat and crust proteins, mother cell lysis",Sporulation,Sporulation,6,53,SigK,0.0353624525,97.0
15,GerE / GerR – Mid-late Spore Coat,[SigK + GerE] / [SigK + GerR],0,0.764705882352941,0.127450980392157,subset,"Production of spore coat and crust proteins. Omitted from sporulation analysis because all genes are contained by SigK1 & 2, and activity levels are very noisy in non-sporulating conditions.",Sporulation,Sporulation,4,54,[SigK + GerE] / [SigK + GerR],0.092769335,17.0
65,Xpf – PBSX Prophage,Xpf,1,0.878787878787879,1.0,well defined,Prophage element that induces production of bacteriocin and cell lysis in response to DNA-damaging agents,Mobile Genes,Deleterious Prophages,PBSX,55,Xpf,0.0811812325,33.0
22,Spβ-1 – SP-β Prophage 1,,0,0.0,0.0,unknown,Temperature-responsive SP-beta prophage. Response to stressors such as cold and ethanol. Subset of  SPbeta Prophage 2.,Mobile Genes,Deleterious Prophages,SPBeta,56,,0.10087665550000001,2.0
64,Spβ-2 – SP-β Prophage 2,CsoR + SigA + SigK + SigE,0,0.0939597315436242,0.933333333333333,contains unknown,"Temperature-responsive SP-beta prophage. Prophage, unknown, and putative metabolic genes. Response to mitomycin.",Mobile Genes,Deleterious Prophages,SPBeta,57,CsoR + SigA + SigK + SigE,0.0364846685,149.0
18,ImmR – ICEBs1,ImmR,1,0.95,0.95,well defined,Mobile genetic element that participates in horizontal gene transfer,Mobile Genes,Other Prophages,,58,ImmR,0.07804329099999999,20.0
27,SknR – Skin Element,SknR,0,0.352941176470588,0.5,closest match,Prophage element that disrupts the SigK gene but also plays roles in preventing early germination and regulating proliferation. Unknown and toxin resistance genes.,Mobile Genes,Other Prophages,,59,SknR,0.052144133499999995,17.0
20,"IolR / MelR – Inositol, Melibiose, and Acetoin",[IolR] / [MelR] / [AcoR],1,0.896551724137931,0.928571428571429,well defined,"Uptake and utilization of inositol, melibiose/raffinose, and acetoin",Multi-Purpose,Multi-Purpose Metabolism,Several Specific Sources,60,[IolR] / [MelR] / [AcoR],0.0765202055,29.0
40,NadR / BirA – NAD and Biotin,[NadR] / [BirA],1,0.681818181818182,0.714285714285714,well defined,"Biosynthesis of NAD and biotin, plus safA & coxA sporulation proteins and repression of manganese uptake",Multi-Purpose,Multi-Purpose Metabolism,"NAD, Biotin",61,[NadR] / [BirA],0.098662298,22.0
81,"MtlR / AnsR – Mannitol, Asparagine, and Aspartate",[MtlR] / [AnsR + SigA],1,0.727272727272727,0.8,well defined,"Uptake and utilization of mannitol, degradation of asparagine and aspartate",Multi-Purpose,Multi-Purpose Metabolism,"Mannitol, Asparagine, Aspartate",62,[MtlR] / [AnsR + SigA],0.091096883,11.0
73,TnrA / PucR – Nitrogen Limitation,[SigA + TnrA] / [SigA + PucR],1,0.9,0.169811320754717,subset,"Ammonium uptake, utilization of nitrate and xanthine. Suggests nitrate limitation in the BT condition",Multi-Purpose,Multi-Purpose Metabolism,Nitrogen Ions,63,[SigA + TnrA] / [SigA + PucR],0.1017879645,10.0
67,CymR / NsrR – Sulfur and Nitrate Respiration,[SigA + CymR] / [ResD + SigA + NsrR],1,0.909090909090909,0.338983050847458,subset,Import and utilization of sulfonate and cystine for cysteine production. Nitrite reduction,Multi-Purpose,Multi-Purpose Metabolism,Sulfur Limitation,64,[SigA + CymR] / [ResD + SigA + NsrR],0.0818524585,22.0
11,ArsR+ – Diamide Stress,[ArsR] / [YodB] / [SigA + CtsR] / [SigA + CsoR],0,0.466666666666667,0.28,closest match,"Detoxification in response to: oxidative protein damage, arsenic, catechol, copper, toxic quinones",Multi-Purpose,Multi-Purpose Stress,Oxidative Stress,65,[ArsR] / [YodB] / [SigA + CtsR] / [SigA + CsoR],0.064922333,30.0
17,Uncharacterized 1,,0,,,,"Contains a SigE/SigG inhibitor, spore coat proteins, translational proteins, oxidative stress response, many RNAs",Uncharacterized,Noisy Groups of Genes,,66,,0.06545393349999999,30.0
43,Uncharacterized 2,,0,,,,"Contains cold shock, sporulation onset, toxin, amino acid homeostasis, translataional, other proteins, many RNAs",Uncharacterized,Noisy Groups of Genes,,67,,0.054663155000000005,40.0
33,Uncharacterized 3,,0,,,,"Contains many poorly characterized RNAs with noisy activity but clear time correlations, especially in sporulation. May be indicative of overall decreased translational activity ",Uncharacterized,Noisy Groups of Genes,Putative Noise,68,,0.048537783499999994,80.0
34,Uncharacterized 4,,0,,,,Contains many poorly characterized RNAs with noisy activity ,Uncharacterized,Noisy Groups of Genes,Putative Noise,69,,0.049752125999999994,62.0
24,Uncharacterized 5,,0,,,,Contains many poorly characterized RNAs with noisy activity ,Uncharacterized,Noisy Groups of Genes,Putative Noise,70,,0.06926545949999999,19.0
26,Uncharacterized 6,,0,,,,5’ ends of tRNAs and independent transcripts,Uncharacterized,Noisy Groups of Genes,Putative Noise,71,,0.07445070100000001,6.0
62,Noise – S144,,0,,,,"Likely accounting for noisey RNA S144, an independent transcript",Uncharacterized,Noisy Genes,Single RNA,72,,0.2178072175,1.0
28,Noise – S415,,0,,,,Noisy independent transcript S415,Uncharacterized,Noisy Genes,Single RNA,73,,0.1128458725,2.0
29,Noise – S1235,,0,,,,"Independent transcript S1235, behaves similar to late sporulation I-modulons",Uncharacterized,Noisy Genes,Single RNA,74,,0.122628726,1.0
31,Noise – S1210,,0,,,,Noisy independent transcript S1210,Uncharacterized,Noisy Genes,Single RNA,75,,0.14209160199999998,1.0
42,Noise – Carbon Source Transition 1,,0,,,,Likely accounting for noise in the carbon source transition experiments,Uncharacterized,Noisy Genes,Samples,76,,0.0738413785,22.0
63,Noise – Carbon Source Transition 2,,0,,,,Likely accounting for noise in carbon source transition and gluconnate experiments,Uncharacterized,Noisy Genes,Samples,77,,0.060006307,30.0
55,Noise – LBGexp_1,,0,,,,Likely accounting for noise in the first sample of LBG_exp. Top few RNAs are 5' UTRs of glucose metabolism genes,Uncharacterized,Noisy Genes,Samples,78,,0.055976637,48.0
37,Noise – Diamide 15,,0,,,,Likely accounting for noise in the diamide after 15 minutes and LBG exponential conditions,Uncharacterized,Noisy Genes,Samples,79,,0.095906608,5.0
19,Empty 1,,0,,,,Contains no genes,Uncharacterized,Empty,,80,,0.126664701,0.0
76,Empty 2,,0,,,,Contains no genes,Uncharacterized,Empty,,81,,0.163113667,0.0
78,Empty 3,,0,,,,Contains no genes,Uncharacterized,Empty,,82,,0.123938113,0.0
