,A,sigK
GM+45_2,-12.1233386593,7.1075
GM+45_3,-4.0970972374,8.2022
GM+60_1,-15.6149766937,7.959
GM+60_2,-7.62452549916,7.7086
GM+60_3,-6.0220061102199995,8.0418
GM+90_1,-14.6585338995,8.2186
GM+90_2,-10.1802279386,8.3258
GM+90_3,-9.628619271860002,8.1188
GM+120_1,-2.7395589288499997,8.3486
GM+120_3,-4.8475664281999995,8.7539
GM+150_1,-9.51188256588,8.3086
GM+150_2,-10.0860949978,7.8773
GM+150_3,-11.6479952484,8.1743
BT_1,49.5204950126,14.1164
BT_2,50.73571738840001,13.7526
B36_1,36.565637606799996,14.611
B36_2,38.6335221452,14.4254
B60_1,18.4834007043,13.2646
B60_2,18.9219691017,13.107
S0_1,-15.2477682521,7.4132
S0_2,-13.273445508900002,7.6196
S0_3,-11.1232892874,7.93
S1_1,-16.2204996304,8.3552
S1_2,-13.396629409,8.3641
S1_3,-16.1992347945,8.1353
S2_1,-9.418702465860001,8.5471
S2_2,-11.99364017,7.8577
S2_3,-10.540756039,7.8177
S3_1,-5.98095379122,12.0091
S3_2,-7.350865100039999,12.5368
S4_1,0.548916132536,15.1769
S4_2,2.3054364193200003,15.1607
S4_3,2.2376766770299996,15.2242
S5_1,45.2595089009,15.5351
S5_2,48.4699740884,15.683
S5_3,47.8768196207,15.7311
S6_1,68.3544257468,15.5885
S6_2,74.2056932304,15.5167
S6_3,65.811530285,15.3973
S6/t_1,66.3027952071,15.7367
S6/t_2,70.57841604069999,14.4518
S6_4,62.766114991,15.1857
S6_5,63.6543701278,15.6683
S6_6,61.1930631571,15.5095
S7_4,58.388776864499995,15.1559
S7_5,57.741643761199995,14.8581
S7_6,54.2788807209,14.9461
S8_4,57.4180484047,14.6569
S8_5,57.0197349862,14.7966
G135_1,-8.99090802942,7.8144
G135_3,1.5091359972100002,7.6058
G150_1,-8.6115530301,7.621
G150_2,-13.560700591500002,7.8256
G150_3,-9.221972888049999,7.8102
G180_1,-7.4385586738,7.6659
G180_2,-11.4813270691,7.4942
G180_3,-5.84202246549,7.3527
T-5.40H_1,-16.8245864753,11.0814
T-4.40H_1,-15.3900409778,10.4217
T-3.40H_1,-16.1053816853,9.4678
T-2.40H_1,-15.1025922443,8.9872
T-1.40H_1,-15.6520450173,8.484
T-1.10H_1,-17.6762055355,8.6652
T-0.40H_1,-17.3627221436,8.7838
T0.0H_1,-16.0140470329,8.1495
T0.30H_1,-6.60601421156,8.0044
T1.0H_1,-7.227677770650001,7.9921
T1.30H_1,-3.6558911239999996,8.1263
T2.0H_1,-1.7438035533,8.2586
T2.30H_1,-8.70604638631,8.6171
T3.0H_1,-7.693440464389999,8.8112
T3.30H_1,-7.7152022721,9.6875
T4.0H_1,-9.22999339544,10.6293
T5.0H_1,-3.99222800631,11.1793
LBexp_1,-13.7119471847,7.8045
LBexp_2,-14.5081337028,7.5472
LBexp_3,-10.8159223724,7.7913
LBtran_1,-9.97100203441,7.2827
LBtran_2,-9.99155222355,7.1441
LBtran_3,-8.724633861589997,7.4822
LBstat_1,-9.54875829723,7.5542
LBstat_2,-6.4969596545099995,7.6245
LBstat_3,-4.311631470909997,7.6289
LBGexp_1,-11.884537743900001,7.7687
LBGexp_2,-11.569671131600002,7.4084
LBGexp_3,-11.319971018699999,7.5294
LBGtran_2,-6.0184816563300005,7.5824
LBGtran_3,-9.930557818739999,7.7074
LBGstat_1,-4.71394103667,7.3331
LBGstat_2,-2.80747797859,7.3484
LBGstat_3,-2.67532758628,7.7797
Mt0_1,-11.997883592200001,7.8132
Mt0_3,-16.6152707639,7.68
M0t45_1,-11.7590671729,7.6178
M0t45_2,-14.111466048299999,7.7624
M0t45_3,-16.0591187976,7.4985
M0t90_1,-4.73272771964,7.5457
M0t90_2,-14.0756544965,7.2343
M0t90_3,-10.283614100000001,7.2245
M40t45_1,-9.388599724510001,7.6960000000000015
M40t45_2,-11.421063233,7.4304
M40t45_3,-18.265422865599998,7.4239
M40t90_1,-9.26391806202,7.2348
M40t90_2,-14.4039516388,7.112
M40t90_3,-14.1814076176,7.2391
dia0_1,-12.150810057200001,7.4943
dia0_2,-13.2476140846,7.5666
dia0_3,-16.9490748957,7.7949
dia5_1,-10.5208572733,7.2002
dia5_2,-10.8046849946,7.4928
dia5_3,-14.0201220569,7.061
dia15_1,-12.4771035501,8.1481
dia15_2,-13.6708123158,8.8984
dia15_3,-8.651171128989999,7.6807
C30_1,2.4678587681,8.7646
C30_2,1.0450227461100001,9.0207
C90_1,-6.865721650709999,8.3619
C90_2,-15.648819316099999,7.6226
SMM_1,-11.993744483699999,8.4142
SMM_2,-13.7304099162,8.3815
SMM_3,-13.538993142899999,8.8295
Salt_1,-10.860748391800001,8.2086
Salt_2,-10.7604749818,8.2485
Salt_3,-11.2746348827,8.1111
M+G_1,-0.757277997274,8.6072
M+G_2,-12.4487983797,8.1435
M+G_3,-12.348778648900002,8.0244
Glu_1,-12.1267155519,8.1603
Glu_2,-13.497288168099999,8.1629
Glu_3,-11.2391324052,8.1314
Fru_1,-13.4208707752,7.4673
Fru_2,-12.9426725121,8.7592
Fru_3,-10.0476352806,7.9952
Mal_1,-9.87984707171,7.6423
Mal_2,-8.878276638160003,8.1427
Mal_3,-12.5641636984,7.5436
G+S_2,28.3915916828,12.8934
G+S_3,34.758399484,13.6066
Pyr_1,17.262788835,12.263
Pyr_2,33.6086081169,12.9936
Pyr_3,32.7925005657,12.905
Gly_1,2.07203444342,8.2573
Gly_2,0.00243645049888,8.7582
Gly_3,5.73628479053,8.1787
Glucon_1,13.8287745502,10.0709
Glucon_2,11.5988053522,10.3022
Glucon_3,2.84549557293,8.2713
BI_1,-16.4630904885,8.1915
BI_2,-18.8344798748,8.0992
BC_2,3.5755495815699994,10.2943
BC/t_1,-4.58285898104,9.2351
BC/t_2,5.3462624636300005,10.4681
BC_1,-6.34213591309,9.2728
Sw_1,-12.1046825401,7.1172
Sw_2,-15.4454524444,7.2591
BMM_1,-16.412252503399998,7.785
BMM_2,-14.6522670469,7.707000000000002
BMM_3,-13.694717196500001,7.8661
Heat_1,-14.5426059207,8.129
Heat_2,-16.4892598434,7.6074
Heat_3,-11.536982005,7.8953
Cold_1,-13.9083514395,8.0516
Cold_2,-9.14749793459,7.9266
Cold_3,-5.36891494536,7.8169
Etha_1,-4.2312747629,7.7727
Etha_2,-1.13643534265,7.8858
Etha_3,-5.5058031219700005,7.5543
SMMPr_1,10.6216756387,11.5511
SMMPr_2,9.82556558506,11.2995
SMMPr_3,12.058861269400001,10.9516
HiTm_1,-8.67743080783,7.5107
HiTm_2,-12.4873681098,7.3351
HiTm_3,-11.490336699,7.5176
LoTm_1,-9.92930056427,10.579
LoTm_2,-9.875205177569999,10.5707
LoTm_3,-6.50387391508,11.3319
HiOs_1,-12.5196779881,9.2508
HiOs_2,-6.2826031916,9.5191
HiOs_3,-11.059520796300001,8.9513
Oxctl_1,-4.65910819694,8.3895
Oxctl_2,-5.5261462878900005,8.3391
Oxctl_3,-11.7935267579,8.2493
Diami_1,-7.183972970560001,7.7226
Diami_2,-12.034017316199998,7.4224
Diami_3,-7.20674696218,8.0491
Paraq_1,-8.99184115953,8.533999999999999
Paraq_2,-13.8931271547,8.3597
Paraq_3,-4.47423005977,7.7702
H2O2_1,-10.4089864049,8.4929
H2O2_2,-11.973641297,8.7637
H2O2_3,-8.524968004689999,8.8928
HPh_1,-11.4874244629,8.595
HPh_2,-12.5349399283,8.1915
HPh_3,-10.1461308208,8.5719
LPh_1,-12.270688722400001,8.4029
LPh_2,-16.7307282753,8.4174
LPh_3,-11.0080711797,8.2809
LPhT_1,-8.51235376746,8.9756
LPhT_2,-11.1777379597,8.9766
LPhT_3,-11.6587605378,9.0225
aero_1,10.4179169751,9.8817
aero_2,-1.60978910515,8.1947
aero_3,5.664394455399999,9.4269
nit_1,26.6614618157,13.2239
nit_2,1.81633837222,11.4665
nit_3,5.672799663659999,12.7737
ferm_1,24.9878755196,13.2202
ferm_2,-0.347818286649,10.8721
ferm_3,-0.9700725955480001,12.628
