k,Name,Regulator,Function,Category,n_genes,precision,recall,category_num
22,PurR-2,PurR,Pyrimidine biosynthesis,Amino Acid and Nucleotide Biosynthesis,10,0.7,0.19444444444444395,1
23,Cbl+CysB,Cbl and CysB,Aliphatic sulfonate utilization,Miscellaneous Metabolism,10,0.8,0.8888888888888891,4
24,GlcC,GlcC,Glycolate catabolism,Carbon Source Utilization,6,1.0,0.857142857142857,0
25,Crp-1,Crp,Miscellaneous functions,Miscellaneous Metabolism,60,0.4833333333333329,0.049403747870528,4
26,YiaJ,YiaJ,Ascorbate utilization,Carbon Source Utilization,10,1.0,0.9090909090909091,0
27,GcvA,GcvA,Glycine cleavage system,Miscellaneous Metabolism,4,0.75,0.75,4
28,XylR,XylR,Xylose catabolism,Carbon Source Utilization,13,0.46153846153846206,0.857142857142857,0
29,fur-KO,,Accounts for fur knock-out,Genomic Alterations,13,,,9
30,RpoH,RpoH,Heat shock response,Stress Response,13,1.0,0.09558823529411802,6
31,GadEWX,GadE and GadW and GadX,Acid stress response,Stress Response,17,0.588235294117647,0.9090909090909091,6
32,translation,,Enriched in translation machinery,Biological Enrichment,24,,,8
33,PrpR,PrpR,Propionate catabolism,Carbon Source Utilization,6,0.666666666666667,0.8,0
34,GadWX,GadW and GadX,Acid stress response,Stress Response,8,1.0,0.5333333333333329,6
35,fimbriae,,Fimbriae assembly,Biological Enrichment,8,,,8
36,CecR,CecR,Related to antibiotic sensitivity,Stress Response,5,1.0,1.0,6
37,uncharacterized-4,,Unknown Function,Uncharacterized,10,,,10
38,ArcA-1,ArcA,Anaerobic response,Energy Metabolism,50,0.66,0.072687224669604,2
39,nitrate-related,,Nitric oxide response,Biological Enrichment,14,,,8
40,Fnr,Fnr,Anaerobic response,Energy Metabolism,40,0.85,0.077097505668934,2
41,CdaR,CdaR,Glucarate catabolism,Carbon Source Utilization,10,0.9,1.0,0
42,Pyruvate,BtsR or YpdB or PdhR,Pyruvate transport and metabolism,Carbon Source Utilization,8,0.5,0.09302326,0
43,SrlR+GutM,SrlR and GutM,Sorbitol catabolism,Carbon Source Utilization,5,1.0,0.7142857142857142,0
44,NagC/TyrR,NagC or TyrR,N-acetylglucosamine catabolism and tyrosine biosynthesis,Carbon Source Utilization,17,0.941176470588235,0.326530612244898,0
45,CpxR,CpxR,Various stress responses,Stress Response,17,0.47058823529411803,0.129032258064516,6
46,thrA-KO,,Accounts for thrA knock-out,Genomic Alterations,3,,,9
47,Lrp,Lrp,Amino acid and peptide transport,Amino Acid and Nucleotide Biosynthesis,37,0.8648648648648649,0.16,1
48,deletion-1,,Large deletion of 39 genes during evolution,Genomic Alterations,41,,,9
49,Leu/Ile,IlvY or leu-tRNA attenuation or ile-tRNA attenuation,Branched-chain amino acid biosynthesis,Amino Acid and Nucleotide Biosynthesis,14,0.9285714285714292,0.7647058823529409,1
50,deletion-2,,Large deletion of 171 genes during evolution,Genomic Alterations,110,,,9
51,Fur-1,Fur,Iron homeostasis,Metal Homeostasis,48,0.895833333333333,0.245714285714286,3
52,uncharacterized-5,,Unknown Function,Uncharacterized,4,,,10
53,Thiamine,Thiamine,Thiamine biosynthesis,Miscellaneous Metabolism,11,1.0,1.0,4
54,CysB,CysB,Inorganic sulfate assimilation,Amino Acid and Nucleotide Biosynthesis,21,0.7619047619047621,0.516129032258065,1
55,FliA,FliA,Chemotaxis,Structural Components,30,0.966666666666667,0.446153846153846,5
56,PuuR,PuuR,Putrescine catabolism,Miscellaneous Metabolism,7,1.0,1.0,4
57,NikR,NikR,Nickel homeostasis,Metal Homeostasis,6,0.833333333333333,0.833333333333333,3
58,NtrC+RpoN,NtrC and RpoN,Nitrogen starvation response,Stress Response,56,0.5714285714285711,0.666666666666667,6
59,RcsAB,RcsAB,Colanic acid capsule formation,Structural Components,28,0.3571428571428571,0.625,5
60,His-tRNA,His-tRNA attenuation,Histidine biosynthesis,Amino Acid and Nucleotide Biosynthesis,9,0.8888888888888891,1.0,1
61,Fur-2,Fur,Iron homeostasis,Metal Homeostasis,27,0.8148148148148149,0.125714285714286,3
62,Copper,CusR or HprR or CueR,Copper homeostasis,Metal Homeostasis,8,1.0,0.421052631578947,3
63,AllR/AraC/FucR,AllR or AraC or FucR,"Allantoin, glyoxylate, L-arabinose, and L-fucose catabolism",Carbon Source Utilization,18,1.0,0.6,0
64,Cra,Cra,Central carbon metabolism,Carbon Source Utilization,15,0.8,0.08888888888888902,0
65,ArcA-2,ArcA,Electron Transport Chain,Energy Metabolism,25,0.84,0.04625550660793,2
66,EvgA,EvgA,Acid and osmotic stress response,Stress Response,20,0.5,0.625,6
67,uncharacterized-2,,Unknown Function,Uncharacterized,42,,,10
68,Zinc,ZntR or Zur,Zinc homeostasis,Metal Homeostasis,12,0.583333333333333,1.0,3
69,SoxS,SoxS,Oxidative stress response,Stress Response,41,0.5609756097560981,0.433962264150943,6
70,Nac,Nac,Nitrogen starvation response,Stress Response,37,0.8648648648648649,0.061776061776062006,6
71,Tryptophan,TrpR or trp-tRNA attenuation or Tryptophan attenuation,Tryptophan Biosynthesis,Amino Acid and Nucleotide Biosynthesis,11,0.818181818181818,0.5,1
72,curli,,Curli assembly,Biological Enrichment,4,,,8
73,gadWX-KO,,Accounts for gadW and gadX knock-outs,Genomic Alterations,2,,,9
74,flu-yeeRS,,Genes in CP4-44 prophage,Biological Enrichment,8,,,8
75,uncharacterized-1,,Unknown Function,Uncharacterized,15,,,10
76,FadR/IclR,FadR or IclR,Fatty acid degradation,Miscellaneous Metabolism,13,0.7692307692307689,0.4,4
77,lipopolysaccharide,,Lipopolysaccharide biosynthesis,Biological Enrichment,36,,,8
78,FlhDC,FlhDC,Flagella assembly,Structural Components,41,0.9268292682926829,0.48717948717948706,5
79,crp-KO,,Accounts for crp knock-out,Genomic Alterations,14,,,9
80,GntR/TyrR,GntR or TyrR,Gluconate catabolism and tyrosine biosynthesis,Carbon Source Utilization,15,0.866666666666667,0.5416666666666671,0
81,purR-KO,,Accounts for purR knock-out,Genomic Alterations,3,,,9
82,RpoS,RpoS,General stress response,Stress Response,107,0.37383177570093495,0.13201320132013197,6
83,membrane,,Enriched in membrane-bound proteins,Biological Enrichment,15,,,8
84,duplication-1,,Large duplication of 129 genes during evolution,Genomic Alterations,84,,,9
85,uncharacterized-3,,Unknown Function,Uncharacterized,2,,,10
86,ExuR/FucR,ExuR or FucR,D-galacturonate and L-fucose catabolism,Carbon Source Utilization,15,0.666666666666667,0.625,0
87,FecI,FecI,Ferric citrate transport,Metal Homeostasis,10,0.5,1.0,3
88,iron-related,,Related to iron metabolism,Biological Enrichment,20,,,8
89,RbsR,RbsR,D-ribose catabolism,Carbon Source Utilization,6,0.833333333333333,0.555555555555556,0
90,sgrT,,Contains single dominating gene: sgrT,Biological Enrichment,4,,,8
91,insertion,,IS2 insertion element after laboratory evolution,Genomic Alterations,9,,,9
