locus,gene_weight,gene_name,gene_product,cog,operon,regulator,Fur,link
PN96_RS16500,0.0742468006199108,VV21177,ATP-binding cassette domain-containing protein,Inorganic ion transport and metabolism,Op349,Fur,True,
PN96_RS15935,0.0735494871041449,vctD,iron chelate uptake ABC transporter family permease subunit,Inorganic ion transport and metabolism,Op189,Fur,True,
PN96_RS06800,0.0706024325010198,PN96_RS06800,ABC transporter ATP-binding protein,Coenzyme transport and metabolism,Op1725,,False,
PN96_RS03175,0.0665583733278524,PN96_RS03175,TonB-dependent siderophore receptor,Inorganic ion transport and metabolism,Op786,,False,
PN96_RS03170,0.0662625016279205,PN96_RS03170,iron chelate uptake ABC transporter family permease subunit,Inorganic ion transport and metabolism,Op781,,False,
PN96_RS15335,0.0659058492561821,fhuB,Fe(3+)-hydroxamate ABC transporter permease FhuB,Inorganic ion transport and metabolism,Op29,Fur,True,
PN96_RS17865,0.0622924475474745,hutH,histidine ammonia-lyase,Amino acid transport and metabolism,Op708,,False,
PN96_RS23350,0.0598937996225488,PN96_RS23350,TetR family transcriptional regulator,Transcription,Op2219,Crp,False,
PN96_RS05350,0.0588570983686025,PN96_RS05350,TonB-dependent siderophore receptor,Inorganic ion transport and metabolism,Op1320,,False,
PN96_RS14410,0.0566773726761517,acs,acetate--CoA ligase,Nucleotide transport and metabolism,Op2950,,False,
PN96_RS03165,0.0527890942012771,PN96_RS03165,iron chelate uptake ABC transporter family permease subunit,Inorganic ion transport and metabolism,Op781,,False,
PN96_RS16505,0.0523111325500861,VV21178,ABC transporter ATP-binding protein,Inorganic ion transport and metabolism,Op349,Fur,True,
PN96_RS17870,0.0521843776409464,PN96_RS17870,urocanate hydratase,Coenzyme transport and metabolism,Op708,,False,
PN96_RS01620,-0.0536316938692603,PN96_RS01620,porin,Cell wall/membrane/envelope biogenesis,Op358,"Crp,FNR,TfoX",False,
PN96_RS05025,-0.0561143929769555,PN96_RS05025,amino acid ABC transporter ATP-binding protein,Amino acid transport and metabolism,Op1237,,False,
PN96_RS05015,-0.0582948972473487,PN96_RS05015,ABC transporter permease subunit,Inorganic ion transport and metabolism,Op1237,,False,
PN96_RS05020,-0.0585256579248184,PN96_RS05020,amino acid ABC transporter permease,Inorganic ion transport and metabolism,Op1237,,False,
PN96_RS05010,-0.0604295234793139,PN96_RS05010,amino acid ABC transporter substrate-binding protein,Amino acid transport and metabolism,Op1235,,False,
PN96_RS05030,-0.0638146511137211,PN96_RS05030,isoaspartyl peptidase/L-asparaginase,Amino acid transport and metabolism,Op1237,,False,
PN96_RS15595,-0.0652689758312194,PN96_RS15595,glycine C-acetyltransferase,Coenzyme transport and metabolism,Op87,,False,
PN96_RS16045,-0.074147138893289,PN96_RS16045,ectoine synthase,Carbohydrate transport and metabolism,Op222,,False,
PN96_RS15590,-0.0760180349637798,tdh,L-threonine 3-dehydrogenase,Energy production and conversion,Op87,,False,
