locus,gene_weight,gene_name,gene_product,cog,operon,regulator,PedR1,link
PP_2672,0.1975805528080382,exaE,Transcriptional activator protein ExaE,Transcription,Op1746,PedR1,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_2672&e1=1&assembly=complete
PP_2667,0.1968627022127427,PP_2667,ABC transporter,Defense mechanisms,Op1745,PedR1,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_2667&e1=1&assembly=complete
PP_2668,0.1941406548649056,PP_2668,ABC efflux transporter%2C ATP-binding protein,Defense mechanisms,Op1745,PedR1,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_2668&e1=1&assembly=complete
PP_2679,0.1837831622454105,qedH-II,quinoprotein ethanol dehydrogenase,Carbohydrate transport and metabolism,Op1750,"PedR1,PedS2",True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_2679&e1=1&assembly=complete
PP_2671,0.1799791254361597,PP_2671,Sensor histidine kinase,Signal transduction mechanisms,Op1746,PedR1,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_2671&e1=1&assembly=complete
PP_2666,0.137367564342685,PP_2666,conserved exported protein of unknown function,Inorganic ion transport and metabolism,Op1744,PedR1,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_2666&e1=1&assembly=complete
PP_0379,0.1336758213904029,pqqB,Coenzyme PQQ synthesis protein B,Energy production and conversion,Op258,PedR1,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0379&e1=1&assembly=complete
PP_2665,0.1253273998600038,pedR1,Glycerol metabolism activator,Transcription,Op1744,PedR1,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_2665&e1=1&assembly=complete
PP_0378,0.1079700243557346,pqqC,Pyrroloquinoline-quinone synthase,Coenzyme transport and metabolism,Op258,PedR1,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0378&e1=1&assembly=complete
PP_2662,0.0940446386597821,PP_2662,conserved exported protein of unknown function,Cell wall/membrane/envelope biogenesis,Op1742,GacA,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_2662&e1=1&assembly=complete
PP_0376,0.087527527097245,pqqE,Coenzyme PQQ synthesis protein E,Function unknown,Op258,PedR1,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0376&e1=1&assembly=complete
PP_0375,0.0842757259043966,PP_0375,Prolyl oligopeptidase family protein,Amino acid transport and metabolism,Op258,PedR1,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0375&e1=1&assembly=complete
PP_0377,0.081460376102552,pqqD-I,coenzyme PQQ synthesis protein D,Function unknown,Op258,PedR1,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0377&e1=1&assembly=complete
PP_0288,0.0634991625523494,PP_0288,putative Oxalate/formate antiporter,Inorganic ion transport and metabolism,Op200,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0288&e1=1&assembly=complete
PP_2682,0.0619182782263934,yiaY,Fe-containing alcohol dehydrogenase,Energy production and conversion,Op1753,PedR1,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_2682&e1=1&assembly=complete
PP_5444,0.0593505059400105,PP_5444,protein of unknown function,No COG annotation,Op257,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_5444&e1=1&assembly=complete
PP_2683,0.0553367068303358,PP_2683,putative sensory box histidine kinase/response regulator,Signal transduction mechanisms,Op1753,"PedR1,AmrZ",True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_2683&e1=1&assembly=complete
PP_2970,0.0550556367516119,PP_2970,conserved exported protein of unknown function,No COG annotation,Op1926,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_2970&e1=1&assembly=complete
PP_2422,0.0442838948321342,PP_2422,conserved protein of unknown function,Function unknown,Op1568,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_2422&e1=1&assembly=complete
